name;category;location;quantity;minStock;optimalStock
иПхоне 15;Electronics;1-1-1;60;10;50
MacBook Pro;Electronics;1-2-3;30;5;25
Office Chair;Furniture;2-1-2;35;15;40
Desk Lamp;Lighting;2-3-1;120;60;100
Notebook;Stationery;3-1-1;150;0;200
Coffee Mug;Kitchen;3-2-2;380;360;80
Wireless Mouse;Electronics;1-1-2;45;8;40
Monitor;Electronics;1-3-1;10;3;15
Desk;Furniture;2-2-1;4;5;12
Stapler;Stationery;3-1-2;180;30;150
Keyboard;Electronics;1-2-1;35;6;30
Bookshelf;Furniture;2-1-1;20;10;25
Desk Mat;Stationery;3-2-1;200;25;120
Headphones;Electronics;1-1-3;55;9;45
Pen Set;Stationery;3-1-3;300;40;200
Tablet;Electronics;1-3-2;15;4;20
Office Plant;Decor;2-3-2;70;20;60
File Cabinet;Furniture;2-2-2;3;2;10
Webcam;Electronics;1-2-2;35;5;25
Notepad;Stationery;3-2-3;250;35;180
