name;category;location;quantity;minStock;optimalStock
Роутер RT-AC68U;TEL;1-12-3;45;5;54
Модем DSL-2640U;TEL;2-5-2;12;5;14
Коммутатор SG-200;NET;3-8-1;28;5;33
Патч-корд CAT6;CAB;1-3-4;156;5;187
Точка доступа UAP-AC;WIFI;2-15-2;34;5;40
IP-телефон T46S;PHONE;4-6-1;67;5;80
Видеокамера IPC-HFW;SEC;3-11-3;23;5;27
ИБП Back-UPS;PWR;1-7-5;19;5;22
Сетевой хранилищ;STOR;2-9-2;14;5;16
Маршрутизатор ER-X;ROUT;4-4-4;42;5;50
Роутер Archer C7;TEL;3-13-1;38;5;45
Коммутатор TL-SG;NET;1-2-3;51;5;61
Кабель UTP 5e;CAB;2-10-5;89;5;106
Маршрутизатор AX10;WIFI;4-16-2;27;5;32
DECT телефон;PHONE;3-5-1;45;5;54
Видеорегистратор;SEC;1-8-4;18;5;21
Стабилизатор;PWR;2-12-3;31;5;37
Жесткий диск 4TB;STOR;4-14-2;22;5;26
Mesh система;ROUT;3-3-5;49;5;58
Модем CM-1000;TEL;1-11-1;16;5;19
Коммутатор 24 порта;NET;2-7-4;37;5;44
Патч-панель;CAB;4-9-3;44;5;52
Репитер Wi-Fi;WIFI;3-6-2;58;5;69
GSM шлюз;PHONE;1-15-5;25;5;30
Домофон;SEC;2-4-1;41;5;49
Аккумулятор;PWR;4-13-4;33;5;39
SSD диск 1TB;STOR;3-2-2;29;5;34
Маршрутизатор AC1200;ROUT;1-10-3;47;5;56
VoIP телефон;TEL;2-8-1;19;5;22
Медиаконвертер;NET;4-12-5;26;5;31
Кабель оптический;CAB;3-5-4;52;5;62
Адаптер Wi-Fi;WIFI;1-14-2;63;5;75
Факс-аппарат;PHONE;2-3-3;21;5;25
Считыватель карт;SEC;4-11-1;38;5;45
Розетка сетевая;PWR;3-7-5;55;5;66
Карта памяти;STOR;1-9-2;42;5;50
Маршрутизатор VPN;ROUT;2-16-4;31;5;37
Гарнитура;TEL;4-6-3;48;5;57
Коммутатор PoE;NET;3-13-1;24;5;28
Кабель патч-корд;CAB;1-4-5;71;5;85
Точка доступа Outdoor;WIFI;2-10-2;36;5;43
Радиотелефон;PHONE;4-8-4;43;5;51
Сигнализация;SEC;3-15-3;28;5;33
Блок питания;PWR;1-12-1;39;5;46
Флеш-накопитель;STOR;2-5-5;66;5;79
Маршрутизатор 5G;ROUT;4-14-2;23;5;27
Мини-АТС;TEL;3-3-4;51;5;61
Коммутатор управляемый;NET;1-11-3;34;5;40
Коннектор RJ45;CAB;2-7-1;59;5;70
Адаптер Powerline;WIFI;4-9-5;32;5;38
Телефонный аппарат;PHONE;3-6-2;46;5;55
Замок электромеханический;SEC;1-13-4;29;5;34
ИБП Smart-UPS;PWR;2-4-3;41;5;49
Внешний HDD;STOR;4-16-1;37;5;44
Маршрутизатор Tri-band;ROUT;3-2-5;54;5;64
Роутер Wi-Fi 6;TEL;1-10-2;26;5;31
Коммутатор 48 портов;NET;2-8-4;33;5;39
Кабель HDMI;CAB;4-12-3;68;5;81
Система Mesh 3-pack;WIFI;3-5-1;25;5;30
IP-телефон конференц;PHONE;1-14-5;49;5;58
Камера купольная;SEC;2-3-2;22;5;26
Стабилизатор напряжения;PWR;4-11-4;47;5;56
NAS сервер;STOR;3-7-3;31;5;37
Маршрутизатор Gaming;ROUT;1-9-1;58;5;69
Модем 4G/LTE;TEL;2-15-2;35;5;42
Коммутатор Level 2;NET;4-6-5;42;5;50
Кабель USB;CAB;3-4-4;79;5;94
Адаптер Wi-Fi 6;WIFI;1-13-2;28;5;33
DECT база;PHONE;2-8-3;53;5;63
Система контроля доступа;SEC;4-10-1;36;5;43
Бесперебойник;PWR;3-12-5;44;5;52
Модуль памяти;STOR;1-5-4;39;5;46
Маршрутизатор Outdoor;ROUT;2-14-3;27;5;32
VoIP шлюз;TEL;4-3-2;61;5;73
Коммутатор Stackable;NET;3-11-1;33;5;39
Кабель кроссовый;CAB;1-7-5;56;5;67
Точка доступа Ceiling;WIFI;2-9-2;24;5;28
Телефонный коммутатор;PHONE;4-16-4;48;5;57
Датчик движения;SEC;3-6-3;31;5;37
Блок батарейный;PWR;1-13-1;45;5;54
Картридер;STOR;2-4-5;52;5;62
Маршрутизатор WiFi 5;ROUT;4-8-2;29;5;34
GSM модем;TEL;3-10-4;43;5;51
Коммутатор JetStream;NET;1-15-3;38;5;45
Патч-корд CAT6A;CAB;2-5-1;72;5;86
Репитер AC1200;WIFI;4-12-5;26;5;31
Видеотелефон;PHONE;3-7-2;49;5;58
Камера PTZ;SEC;1-14-4;34;5;40
ИБП On-line;PWR;2-3-3;41;5;49
Диск SSD NVMe;STOR;4-11-1;58;5;69
Маршрутизатор ADSL;ROUT;3-9-5;32;5;38
Радиостанция;TEL;1-6-2;47;5;56
Коммутатор 10GbE;NET;2-13-4;25;5;30
Кабель силовой;CAB;4-8-3;64;5;76
Маршрутизатор Travel;WIFI;3-4-1;39;5;46
Телефонный усилитель;PHONE;1-10-5;56;5;67
Видеодомофон;SEC;2-12-2;23;5;27
Зарядное устройство;PWR;4-5-4;51;5;61
Внешний SSD;STOR;3-7-3;37;5;44
Маршрутизатор Dual WAN;ROUT;1-15-1;44;5;52
Спутниковый телефон;TEL;2-3-5;29;5;34
Коммутатор Cloud;NET;4-11-2;62;5;74
Кабель VGA;CAB;3-9-4;41;5;49
Точка доступа In-wall;WIFI;1-6-3;28;5;33
УАТС;PHONE;2-14-1;53;5;63
Система видеонаблюдения;SEC;4-8-5;35;5;42
Блок аварийный;PWR;3-12-2;48;5;57
Лента магнитная;STOR;1-4-4;32;5;38
Маршрутизатор CPE;ROUT;2-10-3;59;5;70
Факс-модем;TEL;4-16-1;26;5;31
Коммутатор L3;NET;3-7-5;43;5;51
Кабель DisplayPort;CAB;1-13-2;67;5;80
Адаптер Wi-Fi USB;WIFI;2-5-4;31;5;37
Телефон для слабослышащих;PHONE;4-11-3;54;5;64
Термостат умный;SEC;3-9-1;22;5;26
Блок распределительный;PWR;1-15-5;49;5;58
Дисковая полка;STOR;2-6-2;36;5;43
Маршрутизатор Omada;ROUT;4-8-4;63;5;75
Пейджер;TEL;3-12-3;27;5;32
Коммутатор Fanless;NET;1-4-1;44;5;52
Кабель аудио;CAB;2-10-5;58;5;69
Точка доступа High Density;WIFI;4-14-2;33;5;39
Телефонный регистратор;PHONE;3-7-4;47;5;56
Датчик дыма;SEC;1-3-3;25;5;30
Стабилизатор цифровой;PWR;2-11-1;52;5;62
Ленточный накопитель;STOR;4-9-2;39;5;46
Маршрутизатор Zyxel;ROUT;3-5-5;46;5;55
Система громкой связи;TEL;1-13-4;31;5;37
Коммутатор Aggregation;NET;2-8-3;28;5;33
