skuCode;name;category;location;quantity;minStock;optimalStock
ELEC-001;Смартфон Galaxy S25;Electronics;1-1-1;45;10;40
ELEC-002;Ноутбук ThinkPad X1;Electronics;1-2-1;25;5;20
ELEC-003;Беспроводные наушники;Electronics;1-3-1;120;20;100
;Монитор 4K;Electronics;2-1-1;15;5;12
FURN-001;Офисное кресло Ergo;Furniture;2-2-1;30;10;25
FURN-002;Стол регулируемый;Furniture;2-3-1;12;5;10
OFFC-001;Бумага A4 500л;Office;3-1-1;500;100;400
OFFC-002;Картридж лазерный;Office;3-2-1;40;10;30
;Степлер;Office;3-3-1;80;15;60
ELEC-001;;;1-1-2;30;;
ELEC-002;;;1-2-2;10;;
ELEC-003;;Electronics;1-3-2;90;;
